number,actual_name,position_type,death_year,deathdate,death_location,death_age,era_name,birthdate,birth_year
912,Reuben Allen Marquardt,TE,1973,2/15/73,"Fort Lauderdale, FL",74,pre-1940,1898-03-07,1898
913,Ira Daniel McIntosh,WR,1973,10/13/73,California,70,pre-1940,1903-04-12,1903
914,William Julius Moore,TE,1973,5/25/73,"Montgomery, PA",61,pre-1940,2/4/12,1912
915,Harry Franklin Newman,OL,1973,12/10/73,"Shaker Heights, OH",76,pre-1940,1897-01-24,1897
916,Richard Brown Noble,OL,1973,5/14/73,"Milford, CT",70,pre-1940,1902-12-04,1902
917,Cornelius O'Brien,OL,1973,5/9/73,"Medford, WA",75,pre-1940,1898-02-13,1898
918,John Joseph Perko,OL,1973,5/8/73,"Hibbing, MN",59,pre-1940,2/20/14,1914
919,George Paul Platukis,TE,1973,5/17/73,"Benton, PA",58,pre-1940,3/15/15,1915
920,Arthur Charles Quam,RB/FB,1973,5/1/73,"Hibbing, MN",76,pre-1940,1896-07-10,1896
921,John Maxwell Reed,OL,1973,6/27/73,"Lewisburg, PA",71,pre-1940,1902-05-15,1902
922,Hugh McCall Rhea,OL,1973,10/18/73,,64,pre-1940,9/9/09,1909
923,Harry Cobb Rooney,RB/FB,1973,5/14/73,"Bremerton, WA",73,pre-1940,1900-03-23,1900
924,Anthony Charles Rovinski,TE,1973,4/16/73,"Wilkes-Barre, PA",64,pre-1940,9/11/08,1908
925,William Franklin Senn,RB/FB,1973,9/5/73,"Macomb, IL",68,pre-1940,7/14/05,1905
926,Leonard Patrick Simonetti,OL,1973,8/14/73,"Dennison, OH",53,pre-1940,11/20/19,1919
927,Emil Martin Sitko,RB/FB,1973,12/15/73,"Fort Wayne, IN",50,1941 to 1959,9/7/23,1923
928,William Howard Snyder,OL,1973,10/29/73,"Dayton, OH",62,pre-1940,10/29/11,1911
929,William Jacob Steinkemper,OL,1973,11/26/73,"Franklin Park, IL",59,pre-1940,12/27/13,1913
930,Edward Carl Sternaman,RB/FB,1973,2/1/73,"Chicago, IL",77,pre-1940,1895-02-09,1895
931,Gaylord Roscoe Stinchcomb,RB/FB,1973,8/24/73,"Findlay, OH",78,pre-1940,1895-06-24,1895
932,Ernest Evar Swanson,TE,1973,7/17/73,"Galesburg, IL",70,pre-1940,1902-10-15,1902
933,Harry Richard Thornton,RB/FB,1973,1/15/73,"Chicago, IL",64,pre-1940,2/4/08,1908
934,Festus Patrick Tierney,OL,1973,8/14/73,"Minneapolis, MN",74,pre-1940,1899-07-01,1899
935,William Hogan Ward,OL,1973,5/21/73,"Garden City, NY",77,pre-1940,1895-07-23,1895
936,Arthur E. Webb,OL,1973,4/12/73,"Rocky River, OH",80,pre-1940,1893-02-17,1893
937,David Belford West,OL,1973,9/11/73,"Cooperstown, NY",77,pre-1940,1896-05-07,1896
938,Wilbur McKee White,TE,1973,12/31/73,"Chillicothe, OH",83,pre-1940,1890-02-22,1890
939,Wilbur B. Wilkin,OL,1973,5/16/73,"Palo Alto, CA",57,pre-1940,4/21/16,1916
940,Robert Harry Wood,OL,1973,10/22/73,"McComb, MS",57,pre-1940,1/14/16,1916
941,Marvin Wood,WR,1973,12/18/73,"Bloomington, IN",73,pre-1940,1900-11-28,1900
942,Carl Francis Zoll,OL,1973,10/19/73,"Green Bay, WI",74,pre-1940,1899-01-28,1899
943,Edward Nicholas Anderson,TE,1974,4/26/74,"Belleair, FL",73,pre-1940,1900-11-13,1900
944,Joseph William Bachmaier,OL,1974,1/14/74,"Rochester, NY",78,pre-1940,1895-03-10,1895
945,Stephen Peter Banas,RB/FB,1974,5/10/74,"Gardena, CA",67,pre-1940,4/30/07,1907
946,Hugh Norman Bancroft,TE,1974,10/31/74,"Dunedin, FL",80,pre-1940,1894-08-04,1894
947,James Aloysius Bernard Bausch,RB/FB,1974,7/9/74,"Hot Springs, AR",68,pre-1940,3/29/06,1906
948,Gilbert Irwin Berry,RB/FB,1974,4/20/74,"Indianapolis, IN",63,pre-1940,3/21/11,1911
949,Herbert Otto Bizer,TE,1974,12/3/74,"Milwaukee, WI",68,pre-1940,8/3/06,1906
950,Peter Anthony Bove Jr.,OL,1974,6/11/74,"Christiansted, U.S. Virgin Islands",67,pre-1940,9/21/06,1906
951,Lawrence Andrew Cabrelli,TE,1974,6/5/74,"Bryn Mawr, PA",57,pre-1940,3/28/17,1917
952,Eric Victor Calhoun,OL,1974,9/24/74,"Cleveland Heights, OH",74,pre-1940,1900-08-01,1900
953,John R. Cardwell,RB/FB,1974,5/13/74,"Wilmington, DE",80,pre-1940,1893-07-28,1893
954,Walter E. Cassidy,TE,1974,10/24/74,"Cleveland, OH",74,pre-1940,1899-12-16,1899
955,William Bernard Feldhaus,OL,1974,6/2/74,"Cincinnati, OH",61,pre-1940,12/8/12,1912
956,Eugene William Gedman,RB/FB,1974,8/19/74,"Chicago, IL",42,1941 to 1959,1/9/32,1932
957,Frederick Montague Gillies,OL,1974,5/8/74,"Flossmoor, IL",78,pre-1940,1895-12-09,1895
958,Ross Stewart Grant,OL,1974,4/26/74,"Cedar Lake, IN",67,pre-1940,12/28/06,1906
959,Charles Howgate Guy,OL,1974,4/9/74,"Tampa, FL",77,pre-1940,1896-12-05,1896
960,Steven V. Hamas,RB/FB,1974,10/11/74,"Northport, NY",67,pre-1940,1/9/07,1907
961,Charles Wesley Harley,WR,1974,4/21/74,"Danville, IL",78,pre-1940,1895-09-15,1895
962,Fred Earl Henry,OL,1974,1/23/74,"Columbus, OH",78,pre-1940,1895-11-30,1895
963,William L. Holcomb,OL,1974,5/20/74,"Dallas, TX",60,pre-1940,6/21/13,1913
964,Frank Charles Honaker,TE,1974,4/21/74,"Huntington, WV",74,pre-1940,1899-10-11,1899
965,Wilfred Theodore Houle,RB/FB,1974,12/26/74,"St. Paul, MN",73,pre-1940,1901-07-14,1901
966,Jack Jacobs,QB,1974,1/12/74,"Greensboro, NC",54,pre-1940,8/7/19,1919
967,William C. Jefferson,RB/FB,1974,3/10/74,"Memphis, TN",55,pre-1940,3/17/18,1918
968,Carroll William Johnson,TE,1974,4/6/74,"Oak Brook, IL",80,pre-1940,1894-02-10,1894
969,William Kelly Joyce,QB,1974,8/29/74,"Camlachie, Canada",79,pre-1940,1895-06-03,1895
970,Emil Karas,LB,1974,11/25/74,"San Diego, CA",40,1941 to 1959,12/13/33,1933
971,Roger Joseph Kiley,TE,1974,9/9/74,"River Forest, IL",73,pre-1940,1900-10-23,1900
972,Stanley Sylvester Knab,RB/FB,1974,11/28/74,"Clermont, FL",80,pre-1940,1894-03-25,1894
973,George Lambert Kramer,OL,1974,9/22/74,"Chicago, IL",80,pre-1940,1894-06-02,1894
974,Raymond Francis Kuffel,TE,1974,12/22/74,"Milwaukee, WI",53,1941 to 1959,12/9/21,1921
975,Rudolph John Kutler,OL,1974,3/20/74,"Garfield Heights, OH",72,pre-1940,1901-11-14,1901
976,Walter Paul Ladrow,RB/FB,1974,7/22/74,"Green Bay, WI",78,pre-1940,1895-10-16,1895
977,James Montague Landrigan,OL,1974,6/24/74,"San Diego, CA",51,1941 to 1959,5/31/23,1923
978,Louis Charles Long,TE,1974,4/23/74,"Richmond, VA",65,pre-1940,1/6/09,1909
979,Roy Lee Lumpkin,RB/FB,1974,3/31/74,"Dallas , TX",67,pre-1940,1/27/07,1907
980,Gerald A. Lunz,OL,1974,1/11/74,"Milwaukee, WI",70,pre-1940,1903-03-13,1903
981,Elmer Laurence Madarik,RB/FB,1974,2/3/74,  ,51,1941 to 1959,7/15/22,1922
982,Lawrence Eugene Marks,RB/FB,1974,1/19/74,"Kalamazoo, MI",71,pre-1940,1902-12-20,1902
983,Elmo Alvin Maul,RB/FB,1974,3/16/74,"Fresno, CA",71,pre-1940,1902-06-20,1902
984,Donald William McCafferty,TE,1974,7/28/74,"West Bloomfield Hills, MI",53,1941 to 1959,3/12/21,1921
985,Edward Allen Meadows,DL,1974,10/22/74,"Morehead City, NC",42,1941 to 1959,2/19/32,1932
986,Glenn Edgar Morris,TE,1974,1/31/74,"Palo Alto, CA",61,pre-1940,6/8/12,1912
987,Harry Edward Newland,TE,1974,10/17/74,"Brownsville, OR",82,pre-1940,1892-03-12,1892
988,Henry Francis Norberg Jr.,TE,1974,12/4/74,,53,1941 to 1959,12/22/20,1920
989,Charles William Palmer,RB/FB,1974,2/10/74,"Littleton, CO",72,pre-1940,1901-02-15,1901
990,Myron Herrick Palm,RB/FB,1974,4/8/74,"Washington, DC",74,pre-1940,1899-11-26,1899
991,Walter Irvin Pearce,QB,1974,5/24/74,"Newport, RI",77,pre-1940,1896-10-23,1896
992,Michael Anthony Perrotti,OL,1974,11/30/74,"Montgomery, OH",51,1941 to 1959,6/12/23,1923
993,George Francis Pyne II,OL,1974,6/3/74,"Milford, MA",64,pre-1940,10/17/09,1909
994,Raymond William Richards,OL,1974,9/18/74,"La Habra, CA",68,pre-1940,7/16/06,1906
995,James A. Robertson,RB/FB,1974,12/31/74,"Akron, OH",73,pre-1940,1901-03-08,1901
996,Benjamin Aaron Roderick,RB/FB,1974,11/30/74,"Canton, OH",75,pre-1940,1899-05-11,1899
997,Julius Alphonsus Rykovich,RB/FB,1974,12/22/74,"Merrillville, IN",51,1941 to 1959,4/6/23,1923
998,Joseph A. Savoldi,RB/FB,1974,1/25/74,"Cadiz, KY",65,pre-1940,3/5/08,1908
999,Walter John Sieb,RB/FB,1974,1/18/74,"Racine, WI",74,pre-1940,1899-05-06,1899
1000,Okla Eugene Smith,TE,1974,5/2/74,"Long Beach, CA",80,pre-1940,1894-02-27,1894
1001,Edwin Andrew Sparr,OL,1974,5/19/74,"Detroit, MI",75,pre-1940,1898-07-29,1898
1002,Percy Davis Steele,TE,1974,3/28/74,"Ojai, CA",76,pre-1940,1897-08-09,1897
1003,Michael M. Steponovich,OL,1974,5/24/74,"Inglewood, CA",65,pre-1940,11/22/08,1908
1004,Gilbert N. Sterr,RB/FB,1974,3/12/74,"Beaver Dam, WI",73,pre-1940,1900-07-03,1900
1005,Robert Lee Suffridge,OL,1974,3/3/74,"Knoxville, TN",57,pre-1940,3/17/16,1916
1006,Richard James Kenneth Tuckey Jr.,RB/FB,1974,12/25/74,"West Haven, CT",61,pre-1940,9/29/13,1913
1007,Hubert J. Ulrich Jr.,TE,1974,3/10/74,"Topeka, KS",53,1941 to 1959,12/12/20,1920
1008,Clyde George Washington,DB,1974,12/29/74,"Carlisle, PA",36,1941 to 1959,3/21/38,1938
1009,Gordon Campbell Watkins,OL,1974,4/8/74,"Atlanta, GA",66,pre-1940,5/19/07,1907
1010,Paul Grover White,RB/FB,1974,6/3/74,"Duluth, GA",52,1941 to 1959,11/13/21,1921
1011,Howard Lee Woodin,OL,1974,2/9/74,"Green Bay, WI",79,pre-1940,1894-11-29,1894
1012,Lee Arlo Wykoff,RB/FB,1974,4/30/74,"Kansas City, KS",76,pre-1940,1898-03-10,1898
1013,Guido Bruce Wyland,OL,1974,12/8/74,"Moline, IL",83,pre-1940,1891-06-05,1891
1014,Roy S. Adkins,OL,1975,2/10/75,"Montclair, NJ",76,pre-1940,1898-10-05,1898
1015,Joseph A. Alexander,OL,1975,9/12/75,"New York, NY",77,pre-1940,1898-04-01,1898
1016,Mark Ernest Barber,RB/FB,1975,2/24/75,  ,59,pre-1940,5/19/15,1915
1017,John William Bettridge,RB/FB,1975,12/10/75,"Sandusky, OH",65,pre-1940,3/19/10,1910
1018,James Philip Bower,RB/FB,1975,7/17/75,"Vergennes, VT",80,pre-1940,1894-10-22,1894
1019,Raymond H. Brenner,WR,1975,6/14/75,"Massillon, OH",77,pre-1940,1898-03-18,1898
1020,Howard Kenneth Brown,OL,1975,4/4/75,"Bloomington, IN",53,1941 to 1959,1/26/22,1922
1021,Garland Maiers Buckeye,OL,1975,11/14/75,"Sand Lake, WI",78,pre-1940,1897-10-16,1897
1022,Robert Lavern Celeri,QB,1975,3/9/75,"Buffalo, NY",47,1941 to 1959,6/1/27,1927
1023,Stephen Charles Filipowicz,RB/FB,1975,2/21/75,"Wilkes-Barre, PA",53,1941 to 1959,6/28/21,1921
1024,Joseph Paul Fitzgibbon,RB/FB,1975,3/12/75,"Long Beach, CA",71,pre-1940,1903-03-21,1903
1025,William Harold Flanagan,RB/FB,1975,2/4/75,"Martinsburg, WV",73,pre-1940,1901-04-28,1901
1026,John H. Gabler,OL,1975,3/25/75,"Dayton, OH",68,pre-1940,4/16/06,1906
1027,Milton Pomeroy Ghee Jr.,RB/FB,1975,3/16/75,"Costa Madera , CA",83,pre-1940,1891-11-17,1891
1028,Paul Dean Gibson,WR,1975,5/23/75,"El Paso , TX",26,1960 to 1975,6/20/48,1948
1029,James Earl Goolsby,OL,1975,5/7/75,"Columbus, MS",57,pre-1940,7/24/17,1917
1030,Arthur Henry Gunderson,OL,1975,11/24/75,"Everett, WA",88,pre-1940,1887-11-09,1887
1031,Raymond Lewis Hare,RB/FB,1975,6/2/75,"Chewelah, WA",57,pre-1940,11/21/17,1917
1032,John Claussen Heldt,OL,1975,10/25/75,"Emmetsburg, IA",75,pre-1940,1899-12-02,1899
1033,Lennie Leroy High,TE,1975,11/16/75,"Los Angeles County, CA",80,pre-1940,1895-02-17,1895
1034,Benjamin Archibald Hobson,RB/FB,1975,7/5/75,"Leawood, KS",72,pre-1940,1902-07-25,1902
1035,Thomas Francis Hogan,OL,1975,1/27/75,"Boston, MA",76,pre-1940,1898-04-26,1898
1036,Joseph DeWitt Hollingsworth,RB/FB,1975,8/18/75,"Lynch, KY",50,1941 to 1959,6/20/25,1925
1037,James Lee Hunt,DL,1975,11/22/75,"Philadelphia, PA",37,1941 to 1959,10/5/38,1938
1038,Wilmer Edward Isabel,RB/FB,1975,9/7/75,"Columbus, OH",75,pre-1940,1899-10-01,1899
1039,John W. Jett,TE,1975,8/3/75,Virginia,57,pre-1940,2/9/18,1918
1040,Bennie LaPresta,RB/FB,1975,8/11/75,"St. Louis, MO",66,pre-1940,1/22/09,1909
1041,Anthony J. Latone,RB/FB,1975,11/24/75,"Detroit, MI",78,pre-1940,1897-04-18,1897
1042,John Anton Long,QB,1975,2/3/75,"Pemberton, NJ",60,pre-1940,12/13/14,1914
1043,Fred Oscar Loven,OL,1975,11/1/75,"Cass County, MN",81,pre-1940,1894-06-11,1894
1044,Jacque Harold MacKinnon,TE,1975,3/6/75,"San Diego, CA",36,1941 to 1959,11/10/38,1938
1045,Talmadge Robert Maples,OL,1975,4/19/75,"Pompano Beach, FL",64,pre-1940,12/3/10,1910
1046,Salvatore John Marone,OL,1975,1/12/75,"Walden, NY",57,pre-1940,8/10/17,1917
1047,Herschel Herbert Martin,RB/FB,1975,6/25/75,"Fort Lauderdale, FL",68,pre-1940,7/16/06,1906
1048,David F. Mishel,RB/FB,1975,3/11/75,"Boston, MA",69,pre-1940,7/6/05,1905
1049,Paul Neely Moore,RB/FB,1975,5/7/75,"Martin County, FL",57,pre-1940,1/23/18,1918
1050,James Thomas Morrow,RB/FB,1975,8/9/75,"Fort Lauderdale, FL",80,pre-1940,1895-02-05,1895
1051,George Munday,OL,1975,10/17/75,"Miami Beach, FL",68,pre-1940,6/13/07,1907
1052,Alvar Alfred Norgard,TE,1975,11/20/75,"Monterey County, CA",68,pre-1940,11/3/07,1907
1053,Henry D. Obst,OL,1975,8/27/75,"New York, NY",68,pre-1940,12/23/06,1906
1054,Elmer Quillen Oliphant,WR,1975,7/3/75,"New Canaan, CT",82,pre-1940,1892-07-09,1892
1055,Claude Perry,OL,1975,7/17/75,"Goodsprings, AL",73,pre-1940,1901-10-31,1901
1056,Melvin Osroe Pittman,OL,1975,12/24/75,"Ennis, TX",67,pre-1940,2/23/08,1908
1057,Marvin Harold Puddy,OL,1975,1/31/75,"Port Angeles, WA",50,1941 to 1959,8/18/24,1924
1058,Henry L. Reese,OL,1975,8/3/75,"Ocean City, NJ",65,pre-1940,10/24/09,1909
1059,Jesse William Richardson,DL,1975,6/17/75,"Philadelphia, PA",44,1941 to 1959,8/18/30,1930
1060,Milton Addas Romney,RB/FB,1975,11/10/75,"North Little Rock, AR",76,pre-1940,1899-06-20,1899
1061,Eugene Ronzani,RB/FB,1975,9/12/75,"Lac du Flambeau , WI",66,pre-1940,3/28/09,1909
1062,Rudolph F. Rosatti,OL,1975,7/8/75,"Norway, MI",79,pre-1940,1895-09-12,1895
1063,Carl William Schuette,LB,1975,12/9/75,"Boston, MA",53,1941 to 1959,4/4/22,1922
1064,Phillip Scott,TE,1975,1/1/75,"Montclair, NJ",68,pre-1940,4/11/06,1906
1065,Frank Henry Seliger,OL,1975,8/28/75,"Hammond, IN",83,pre-1940,1891-08-31,1891
1066,Basil Laron Stanley,OL,1975,7/17/75,"San Francisco, CA",79,pre-1940,1896-02-08,1896
1067,Henry R. Stanton,TE,1975,3/11/75,"Phoenix, AZ",54,1941 to 1959,8/24/20,1920
1068,James David Stephenson,OL,1975,7/19/75,"Charleston, WV",49,1941 to 1959,10/22/25,1925
1069,Earl Edwin Stoecklein,OL,1975,1/6/75,"Bridgeport, CT",78,pre-1940,1896-10-01,1896
1070,Harold C. Sullivan,OL,1975,10/3/75,"Minneapolis, MN",77,pre-1940,1898-03-02,1898
1071,Robert Michael Sweiger,WR,1975,11/1/75,"Hennepin County, MN",56,pre-1940,9/20/19,1919
1072,Lloyd V. Thompson,RB/FB,1975,9/9/75,"Tonawanda, NY",69,pre-1940,2/16/06,1906
1073,Emlen Lewis Tunnell,DB,1975,7/23/75,"Pleasantville, NY",50,1941 to 1959,3/29/25,1925
1074,Guy Nicholson Turnbow,OL,1975,10/4/75,"Oxford, MS",67,pre-1940,3/28/08,1908
1075,Frederick Nels Vant Hull,OL,1975,4/10/75,"Minneapolis, MN",54,1941 to 1959,8/21/20,1920
1076,Walter Clarence Voss,TE,1975,12/14/75,"Stuart, FL",78,pre-1940,1897-03-28,1897
1077,George Hall Wilde,RB/FB,1975,5/26/75,"Marshall, TX",52,1941 to 1959,3/26/23,1923
1078,John F. Barsha,RB/FB,1976,2/18/76,"New York, NY",77,pre-1940,1898-12-25,1898
1079,Harry Clifford Baujan,TE,1976,12/30/76,"Dayton, OH",82,pre-1940,1894-05-24,1894
1080,Frank Joseph Bausch,OL,1976,4/6/76,"Wichita, KS",67,pre-1940,6/14/08,1908
1081,Joseph Howard Berry Jr.,RB/FB,1976,4/29/76,"Philadelphia, PA",81,pre-1940,1894-12-31,1894
1082,James Emory Bertoglio,RB/FB,1976,1/14/76,"Salt Lake City, UT",70,pre-1940,9/1/05,1905
1083,William George Bucher,TE,1976,5/29/76,"Detroit, MI",73,pre-1940,1903-04-23,1903
1084,Glen Michael Carberry,TE,1976,2/19/76,"New York, NY",79,pre-1940,1896-04-10,1896
1085,Clytus Henry Carr,RB/FB,1976,11/1/76,"Marshall, MI",72,pre-1940,1/21/04,1904
1086,Albert R. Casey,WR,1976,8/25/76,"St. Louis, MO",80,pre-1940,1895-12-02,1895
1087,Francis J. Fitzgerald,RB/FB,1976,3/6/76,"Springfield, MA",79,pre-1940,1896-05-20,1896
1088,Salem Holland Ford,RB/FB,1976,6/16/76,"Louisville, KY",80,pre-1940,1896-02-14,1896
1089,Alfred Henry Gansberg,TE,1976,8/24/76,"Evanston, IL",74,pre-1940,1901-10-16,1901
1090,William Davis Garrett Jr.,OL,1976,7/24/76,"Dundee, MS",51,1941 to 1959,1/29/25,1925
1091,Blenda Glen Gay,DL,1976,12/19/76,"Stratford, NJ",26,1960 to 1975,11/22/50,1950
1092,Bruce R. Gehrke,TE,1976,4/6/76,"Mineola, NY",51,1941 to 1959,9/12/24,1924
1093,Dennis Anthony Gildea,OL,1976,2/22/76,"Peabody, MA",77,pre-1940,1898-10-09,1898
1094,Edward Isadore Glick,RB/FB,1976,8/13/76,"DePere, WI",76,pre-1940,1900-04-23,1900
1095,Anthony Edward Golembeski,TE,1976,3/9/76,"Worcester, MA",75,pre-1940,1900-05-25,1900
1096,Earl Goodwin,TE,1976,7/1/76,"Durango, CO",75,pre-1940,1901-01-21,1901
1097,Louis James Gordon,OL,1976,4/4/76,"Chicago, IL",67,pre-1940,7/15/08,1908
1098,Lawrence Edward Green,TE,1976,11/29/76,"St. Petersburg, FL",82,pre-1940,1894-06-03,1894
1099,Charles William Grube,TE,1976,1/21/76,"Hollywood, FL",71,pre-1940,6/11/04,1904
1100,LeRoy Erwin Gutowsky,RB/FB,1976,12/4/76,"Oklahoma City, OK",67,pre-1940,8/2/09,1909
1101,Austin George Higgins,OL,1976,3/3/76,"Louisville, KY",78,pre-1940,1897-11-29,1897
1102,Paul Timothy Hogan,RB/FB,1976,8/13/76,"Las Vegas, NV",77,pre-1940,1898-09-05,1898
1103,Walter Ree Holmer,RB/FB,1976,8/27/76,"Chelan, WA",73,pre-1940,1902-12-05,1902
1104,Talma W. Imlay,RB/FB,1976,3/20/76,"Pebble Beach, CA",74,pre-1940,1902-03-20,1902
1105,Harold James Kane,OL,1976,4/10/76,"Rochester, NY",79,pre-1940,1896-11-28,1896
1106,Stephen A. Kobolinski,OL,1976,10/11/76,"Fall River, MA",72,pre-1940,1903-11-19,1903
1107,Walter Henry Koch,OL,1976,6/22/76,"Hartford, WI",81,pre-1940,1895-01-27,1895
1108,Albert Leroy Krueger,OL,1976,2/25/76,  ,74,pre-1940,1901-08-18,1901
1109,James H. Lang,OL,1976,10/25/76,"Mount Aukum , CA",75,pre-1940,1901-10-03,1901
1110,Thomas John Leary,TE,1976,8/6/76,"Springfield, MA",72,pre-1940,4/15/04,1904
1111,Thomas Martin Lomasney,TE,1976,12/29/76,"Salem, MA",70,pre-1940,5/11/06,1906
1112,Edgar Alex Loyd,TE,1976,5/25/76,"Dallas, TX",48,1941 to 1959,8/7/27,1927
1113,John A. Madigan,OL,1976,1/5/76,"St. Paul, MN",76,pre-1940,1899-03-12,1899
1114,Gerald Stack Maloney,TE,1976,5/16/76,"Newton, MA",74,pre-1940,1901-09-05,1901
1115,Raymond Charles Marelli,OL,1976,12/1/76,"Rockford, IL",75,pre-1940,1901-01-23,1901
1116,William Vance Martin,RB/FB,1976,11/10/76,,38,1941 to 1959,6/6/38,1938
1117,Frank G. McCormick,WR,1976,3/24/76,"Fullerton, CA",81,pre-1940,1894-11-05,1894
1118,Edward Clarence McEvoy,WR,1976,8/7/76,"Houston, TX",72,pre-1940,1903-11-06,1903
1119,Edward Joseph Michaels,OL,1976,1/21/76,"Wilmington, DE",61,pre-1940,6/11/14,1914
1120,Wayne Vernal Millner,TE,1976,11/19/76,"Arlington, VA",63,pre-1940,1/31/13,1913
1121,John Theodore Mintun,OL,1976,2/25/76,"Decatur , IL",81,pre-1940,1894-07-12,1894
1122,Wilkie Osgood Moody,RB/FB,1976,2/22/76,"Newark, OH",78,pre-1940,1897-05-12,1897
1123,John Morlock,WR,1976,1/7/76,"Huntington, WV",59,pre-1940,4/7/16,1916
1124,Samuel Mullen,WR,1976,5/25/76,"Lawton, OK",82,pre-1940,1894-01-09,1894
1125,John Jerome Mulready,TE,1976,6/3/76,"Fargo, ND",53,1941 to 1959,1/5/23,1923
1126,Ernest Alonzo Nevers,RB/FB,1976,5/3/76,"San Rafael, CA",72,pre-1940,1903-06-11,1903
1127,David McLean Nisbet,TE,1976,12/10/76,"Tucson, AZ",66,pre-1940,8/29/10,1910
1128,Robert Duke Osborn,OL,1976,11/2/76,"Lansing, MI",79,pre-1940,1897-02-01,1897
1129,Thomas H. Parkinson,RB/FB,1976,12/28/76,"Pittsburgh, PA",69,pre-1940,3/16/07,1907
1130,Edward Harry Parks,OL,1976,9/27/76,"Yountville, CA",60,pre-1940,12/4/15,1915
1131,Owen Lloyd Parry,OL,1976,3/2/76,"Henrietta, TX",61,pre-1940,11/17/14,1914
1132,William Anthony Petrilas,RB/FB,1976,11/4/76,"Middletown, CT",61,pre-1940,9/28/15,1915
1133,Joseph John Pivarnik,OL,1976,1/22/76,"Middletown, CT",63,pre-1940,2/18/12,1912
1134,Spencer Gorden Pope,TE,1976,9/9/76,"Pottsville, PA",83,pre-1940,1893-03-09,1893
1135,Marion C. Pugh,RB/FB,1976,11/20/76,"College Station, TX",57,pre-1940,9/6/19,1919
1136,Frank Andrew Ribar Jr.,OL,1976,10/1/76,"Northampton, NC",61,pre-1940,1/15/15,1915
1137,Paul Gerald Riblett,TE,1976,3/1/76,"Cherry Hill, NJ",67,pre-1940,5/23/08,1908
1138,Elvin C. Richards,RB/FB,1976,7/21/76,"Los Angeles County, CA",65,pre-1940,12/27/10,1910
1139,Raymond Ernest Riddick,TE,1976,7/14/76,"Hampton, NH",58,pre-1940,10/17/17,1917
1140,Paul Leroy Robeson,TE,1976,1/23/76,"Philadelphia, PA",77,pre-1940,1898-04-08,1898
1141,Gilbert A. Runkel,OL,1976,10/26/76,"Trenton, MI",85,pre-1940,1891-06-02,1891
1142,Wilfrid Russell Smith,OL,1976,8/3/76,"Chicago, IL",77,pre-1940,1899-04-07,1899
1143,Edward Frank Songin,QB,1976,5/26/76,"Foxborough, MA",52,1941 to 1959,5/11/24,1924
1144,John Lawrence Stackpool,RB/FB,1976,8/20/76,"Lincoln City, OR",58,pre-1940,9/6/17,1917
1145,Anton James Stolfa,QB,1976,5/8/76,"Iowa City, IA",58,pre-1940,9/6/17,1917
1146,William Strickland,OL,1976,1/31/76,"Quincy, IL",77,pre-1940,1898-09-14,1898
1147,Frederick Sweet,RB/FB,1976,10/31/76,"Cape May, NJ",75,pre-1940,1901-08-17,1901
1148,William Adam Swiacki,TE,1976,7/7/76,"Sturbridge, MA",53,1941 to 1959,10/2/22,1922
1149,John Porter Tanner,RB/FB,1976,12/23/76,"Owensboro, KY",79,pre-1940,1897-12-03,1897
1150,John Cochran Thurman,OL,1976,3/5/76,"Pasadena, CA",76,pre-1940,1900-02-09,1900
1151,Herbert James Titmas,RB/FB,1976,8/16/76,"Bay Village, OH",70,pre-1940,12/14/05,1905
1152,Samuel Washington Turner Jr.,OL,1976,8/5/76,"Windsor, VA",74,pre-1940,1902-04-16,1902
1153,Frederick G. Vanzo,RB/FB,1976,2/7/76,"Plymouth, MN",60,pre-1940,1/8/16,1916
1154,Edmund A. Wall,RB/FB,1976,9/9/76,"York, PA",69,pre-1940,4/21/07,1907
1155,Chester Carl Widerquist,OL,1976,7/14/76,"Knoxville, IA",80,pre-1940,1895-09-23,1895
1156,Abner Perry Wimberly,DL,1976,9/19/76,"Oak Ridge, LA",50,1941 to 1959,5/4/26,1926
1157,Francis William Bacon,WR,1977,8/31/77,"Sandusky, OH",83,pre-1940,1894-01-11,1894
1158,Leonard Finlan Bahan,RB/FB,1977,5/1/77,"Fort Worth, TX",79,pre-1940,1898-02-18,1898
1159,Herbert Jack Banta,RB/FB,1977,2/22/77,"Newport Beach, CA",59,pre-1940,11/19/17,1917
1160,William Eugene Bedford,TE,1977,10/6/77,"San Antonio, TX",80,pre-1940,1896-12-02,1896
1161,Delmar Gale Bullman,TE,1977,6/24/77,"Rolla, MO",75,pre-1940,1901-08-18,1901
1162,Joseph A. Carpe,OL,1977,11/3/77,"Quincy, MA",74,pre-1940,1903-01-23,1903
1163,Miles Webster Casteel,RB/FB,1977,3/27/77,"Phoenix, AZ",81,pre-1940,1895-12-30,1895
1164,George Francis Cheverko,RB/FB,1977,11/14/77,  ,57,1941 to 1959,7/29/20,1920
1165,Max John Choboian,QB,1977,1/2/77,"Fresno, CA",34,1960 to 1975,3/17/42,1942
1166,Furlonge Harold Flynn,OL,1977,11/1/77,"Vernon, CT",75,pre-1940,1901-12-27,1901
1167,Adrian Grainger Ford,RB/FB,1977,7/7/77,"Youngstown, OH",73,pre-1940,1/1/04,1904
1168,Herald Samuel Frahm,WR,1977,10/19/77,"St. Louis , MO",71,pre-1940,4/11/06,1906
